author,editor,format_type,print_date,day_of_week_name,day_of_week_integer,publish_type,puzzle_id,title,version,percent_filled,solved,star,solving_seconds
Joel Fagliano,,Normal,2024-02-07,Wednesday,3,Mini,21745,,0,100,True,,41
Joel Fagliano,,Normal,2024-02-08,Thursday,4,Mini,21734,,0,100,True,,104
Joel Fagliano,,Normal,2024-02-09,Friday,5,Mini,21753,,0,100,True,,45
Joel Fagliano,,Normal,2024-02-10,Saturday,6,Mini,21737,,0,100,True,,100
Joel Fagliano,,Normal,2024-02-11,Sunday,0,Mini,21756,,0,100,True,,27
Joel Fagliano,,Normal,2024-02-12,Monday,1,Mini,21735,,0,100,True,,68
Joel Fagliano,,Normal,2024-02-13,Tuesday,2,Mini,21741,,0,100,True,,21
Joel Fagliano,,Normal,2024-02-14,Wednesday,3,Mini,21742,,0,100,True,,33
Joel Fagliano,,Normal,2024-02-15,Thursday,4,Mini,21760,,0,100,True,,24
Joel Fagliano,,Normal,2024-02-16,Friday,5,Mini,21761,,0,100,True,,67
Joel Fagliano,,Normal,2024-02-17,Saturday,6,Mini,21744,,0,100,True,,100
